	insect_51_WholeSpecimen	insect_52_WholeSpecimen	insect_53_WholeSpecimen	insect_54_WholeSpecimen	insect_55_WholeSpecimen	insect_56_WholeSpecimen	insect_57_WholeSpecimen	insect_58_WholeSpecimen	insect_59_WholeSpecimen	insect_60_WholeSpecimen	insect_61_WholeSpecimen	insect_62_WholeSpecimen	insect_63_WholeSpecimen	insect_64_WholeSpecimen	insect_65_WholeSpecimen	insect_66_WholeSpecimen	insect_67_WholeSpecimen	insect_68_WholeSpecimen	insect_69_WholeSpecimen	insect_70_WholeSpecimen
419af6db3c0709d63ffc1933ab11b24c	0	0	0	0	92	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0
7d528107a0f51c505c5e69baaf66fea1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	55	12	0	0
40430cb3f1549292579a0136c2e9649b	0	0	25	12	0	0	0	0	16	19	13	8	0	0	18	11	103	51	11	0
87fb4aa5566ac9f722263541069283d5	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
4c578c5c2a107f68769293fc1ea9508d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
cd0237814356f7cf6bf252bbc3545500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	98	0	0	0
57d95925df2d04ef067329f724fe0f52	0	0	16	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
573efacc10a89751b0906a17e2c2251f	0	0	0	0	0	0	0	0	0	0	8	0	0	0	16	0	306	14	0	0
d2188544b195effba7cc1ce1f51ed877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
afeb5f537f01e0ae2197638255f15282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
a6fa449a75ed943eff733f2070f3da83	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0
533b6c05a74b2c25a94f884d6fe42f9d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0
41d38e4234b3645f588a431a7dba50ba	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
70ba7f010c09d57ed2362bd06da989eb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0
e9f900358bb9297e10b9fbb1321b1e6e	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e865f29a716e8d51f83931befa951240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0
5e50943041dc4e3f0f2de0619c79645f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0	0
f8ff6d82579364a533529c6d48ebc506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
4a0b292ba716582f9af46694458c0b9b	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ff240ffe0c798ab1d4fa4cd1a771b4a8	0	0	0	0	0	10	0	0	0	28	0	0	0	0	0	0	0	0	0	0
9f28aebd75a08b0f9dc94badc040df0e	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
