function	insect_51_WholeSpecimen	insect_52_WholeSpecimen	insect_53_WholeSpecimen	insect_54_WholeSpecimen	insect_55_WholeSpecimen	insect_56_WholeSpecimen	insect_57_WholeSpecimen	insect_58_WholeSpecimen	insect_59_WholeSpecimen	insect_60_WholeSpecimen	insect_61_WholeSpecimen	insect_62_WholeSpecimen	insect_63_WholeSpecimen	insect_64_WholeSpecimen	insect_65_WholeSpecimen	insect_66_WholeSpecimen	insect_67_WholeSpecimen	insect_68_WholeSpecimen	insect_69_WholeSpecimen	insect_70_WholeSpecimen
RXN-12430	12481.79	2618.5	1126.73	8373.4	1867.69	4419.0	5194.0	16.0	17147.91	5716.5	5109.36	3402.93	416.64	2873.0	7414.68	5868.5	587.37	196.5	3505.75	3054.5
RXN-12444	268.2	1240.76	1115.24	263.9	15443.97	17528.0	241.75	537.0	4339.44	459.66	454.58	6754.110000000001	10868.2	429.38	3124.48	3197.58	6319.71	1582.32	15498.52	437.25
RXN-12445	12504.79	2601.5	4670.0	8372.5	1835.29	3611.0	4161.0	0.0	1048.86	5312.5	5327.36	2142.78	107.64	2842.0	7620.43	6311.5	12858.0	496.0	6715.5	2887.5
RXN-12446	12533.5	3322.83	881.86	8357.0	20127.46	17034.5	4114.0	212.0	1296.97	5253.5	5123.9	1668.04	15909.57	2738.0	7165.75	5898.5	493.5	196.5	6669.5	2887.5
RXN-12448	27876.03	13257.54	21735.369999999995	20017.81	42337.12	100401.8	9691.25	3670.2	22488.71	16073.41	19248.06	67180.01000000001	52038.46	6941.66	36419.53	19083.96	87320.39000000001	15054.89	47866.60999999999	50618.95
RXN-12450	40.29	948.0	437.82	47.5	1151.0	14667.0	67.0	312.0	10.14	84.0	11.0	279.36	777.34	56.0	298.5	115.0	651.35	32.0	56.0	0.0
RXN-12458	14077.02	5882.84	8968.970000000001	14004.77	26380.71	21881.0	9934.75	31239.4	29248.300000000003	8350.22	13616.38	22516.82	18880.5	3339.33	18640.76	17404.68	42880.45	32278.84	23702.61	15783.35
RXN-12460	14077.02	5880.84	8989.970000000001	14004.77	27533.710000000003	21881.0	9934.75	31239.4	29248.300000000003	8350.22	13625.38	22530.82	18918.67	3339.33	18640.76	17423.18	42880.45	32278.84	23685.61	15783.35
RXN-12462	1341.23	2541.34	2440.6800000000003	5258.77	23656.69	16493.0	212.0	1085.4	8685.560000000001	1820.39	5662.58	16505.129999999997	16910.45	326.33	7291.75	1903.78	8643.61	28920.01	13455.21	12156.6
RXN-12463	1341.23	2541.34	2440.6800000000003	5258.77	23656.69	16493.0	212.0	1085.4	8685.560000000001	1820.39	5662.58	16505.129999999997	16910.45	326.33	7291.75	1903.78	8643.61	28920.01	13455.21	12156.6
RXN-12465	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12466	0.0	316.0	203.16	51.17	9.43	12.0	0.0	0.0	4.0	28.0	1.33	84.0	51.17	38.67	102.5	146.5	415.34	16.0	22.0	0.0
RXN-12469	0.0	316.0	203.16	51.17	9.43	12.0	0.0	0.0	4.0	28.0	1.33	84.0	51.17	38.67	102.5	146.5	415.34	16.0	22.0	0.0
RXN-12472	1352.23	2340.01	2677.58	5344.200000000001	23398.92	15872.8	212.0	275.4	10792.89	1903.72	5973.98	17322.699999999997	17008.68	320.66	8838.65	3360.29	10415.74	30428.01	15097.88	12247.6
